Address,Availability,Owner,Price,Rooms,Size,links
"Krimsvej  23, 14. tv.2300 København S",01-11-2017,Lærernes Pension,"14.416,22 kr.1.000,00 kr.",3,92,/bolig.aspx?aid=27930&s=2
"Frihedsvej  6, 1. tv.2960 Rungsted Kyst",01-10-2017,Logo,"18.722,83 kr.1.350,00 kr.",4,161,/bolig.aspx?aid=27924&s=2
"Sct. Jørgens Gade 3, st. 26000 Kolding",01-12-2017,TDCP,"10.074,00 kr.1.375,00 kr.",3,108,/bolig.aspx?aid=27923&s=2
"Krimsvej  23, 4. mf.2300 København S",01-12-2017,Lærernes Pension,"14.600,00 kr.1.200,00 kr.",3,106,/bolig.aspx?aid=27920&s=2
"Margretheholmsvej  42, 2. tv1432 København K",01-12-2017,PKA_Logo_2014,"11.922,59 kr.960,00 kr.",4,92,/bolig.aspx?aid=27916&s=2
"Katrinebjergvej  67, st. tv.8200 Århus N",01-12-2017,Logo,"9.826,17 kr.616,67 kr.",3,86,/bolig.aspx?aid=27904&s=2
"Carl Jacobsens Vej  19U, 2. TH2500 Valby",01-11-2017,Lærernes Pension,"15.652,72 kr.1.200,00 kr.",4,127,/bolig.aspx?aid=27901&s=2
"Carl Jacobsens Vej  19Z, 5. TV2500 Valby",01-10-2017,Lærernes Pension,"13.542,24 kr.1.100,00 kr.",4,105,/bolig.aspx?aid=27891&s=2
"Algade  33, 5.4000 Roskilde",01-11-2017,PKA_Logo_2014,"17.611,50 kr.2.175,00 kr.",6,177,/bolig.aspx?aid=27890&s=2
"Emiliedalsvej  3, st. lejl. 48270 Højbjerg",01-10-2017,Lærernes Pension,"8.549,09 kr.400,00 kr.",3,75,/bolig.aspx?aid=27889&s=2
"Emiliedalsvej  99, st. lejl. 98270 Højbjerg",15-10-2017,Lærernes Pension,"11.551,79 kr.690,00 kr.",4,98,/bolig.aspx?aid=27888&s=2
"Emiliedalsvej  5, 2. lejl. 28270 Højbjerg",01-11-2017,Lærernes Pension,"9.809,39 kr.713,00 kr.",3,101,/bolig.aspx?aid=27886&s=2
"Axel Heides Gade  12, 5. tv2300 København S",01-10-2017,Sampension,"14.264,41 kr.1.160,00 kr.",3,90,/bolig.aspx?aid=27885&s=2
"Lerdalen  41, st.8270 Højbjerg",15-10-2017,PKA_Logo_2014,"10.158,23 kr.",4,110,/bolig.aspx?aid=27883&s=2
Troldkærvej  229240 Nibe,01-11-2017,OS,"7.593,24 kr.",3,99,/bolig.aspx?aid=27880&s=2
"Artillerivej  160, 9. 42300 København S",01-12-2017,PKA_Logo_2014,"17.135,08 kr.1.400,00 kr.",4,129,/bolig.aspx?aid=27850&s=2
"Teglholmsgade  60, st. th.2450 København SV",01-10-2017,Pensamlogo,"12.826,25 kr.960,00 kr.",3,92,/bolig.aspx?aid=27832&s=2
"Edvard Thomsens Vej 7C, 3. tv2300 København S",01-12-2017,CEJ Ejendomsadministration,"13.400,00 kr.900,00 kr.",3,100,/bolig.aspx?aid=27821&s=2
"Axel Heides Gade  20, st. tv2300 København S",01-10-2017,Sampension,"17.138,78 kr.1.320,00 kr.",3,108,/bolig.aspx?aid=27816&s=2
"Marie Curies Allé  81, 2. TV9220 Aalborg Øst",Ledig nu,DaVinciLogo,"9.350,00 kr.805,00 kr.",4,113,/bolig.aspx?aid=27813&s=2
"Gyvelholm  13 , 1.  2830 Virum",01-10-2017,Deas Logo,"14.817,36 kr.",3,105,/bolig.aspx?aid=27810&s=2
"Klosterhaven  28 , st.  4180 Sorø",01-12-2017,PKA_Logo_2014,"9.325,51 kr.950,00 kr.",4,113,/bolig.aspx?aid=27806&s=2
"Marmorvej  45, st. tv.2100 København Ø",01-10-2017,Pensam,"18.776,59 kr.1.360,00 kr.",4,124,/bolig.aspx?aid=27805&s=2
"C. F. Møllers Alle  2D, st. MF.2300 København S",15-11-2017,Deas logo,"10.153,83 kr.510,00 kr.",3,82,/bolig.aspx?aid=27800&s=2
"C. F. Møllers Alle  2D, 2. TH.2300 København S",01-11-2017,Deas logo,"13.965,00 kr.460,00 kr.",3,98,/bolig.aspx?aid=27799&s=2
"Vesterbrogade 14, 2. th1620 København V",01-10-2017,AdvokaterLoegstrup,"16.000,00 kr.1.200,00 kr.",4,112,/bolig.aspx?aid=27793&s=2
"Carl Jacobsens Vej  17A, st. TH.2500 Valby",01-12-2017,PKA_Logo_2014,"12.291,37 kr.1.150,00 kr.",3,106,/bolig.aspx?aid=27786&s=2
"Artillerivej  160, 14. 32300 København S",01-12-2017,PKA_Logo_2014,"19.597,30 kr.1.455,00 kr.",4,134,/bolig.aspx?aid=27785&s=2
"Artillerivej  160, 6. 22300 København S",01-12-2017,PKA_Logo_2014,"15.828,59 kr.1.460,00 kr.",4,127,/bolig.aspx?aid=27782&s=2
"Artillerivej  160, 11. 12300 København S",01-12-2017,PKA_Logo_2014,"14.622,60 kr.1.085,00 kr.",3,100,/bolig.aspx?aid=27781&s=2
"Vestre Teglgade  2P, 3. TH2450 København SV",01-11-2017,PKA_Logo_2014,"14.701,43 kr.1.160,00 kr.",4,111,/bolig.aspx?aid=27780&s=2
"Strandbjerg  1E, 2. tv.2960 Rungsted Kyst",01-11-2017,Deas Logo,"17.994,82 kr.1.100,00 kr.",3,150,/bolig.aspx?aid=27767&s=2
"Vesterbrogade 31, 4. tv1620 København V",01-12-2017,AdvokaterLoegstrup,"12.500,00 kr.1.725,00 kr.",2,101,/bolig.aspx?aid=27765&s=2
"Nørrebrogade 224, 4. th2200 København N",01-11-2017,AdvokaterLoegstrup,"15.000,00 kr.1.350,00 kr.",3,102,/bolig.aspx?aid=27757&s=2
"Nørrebrogade 224, 4. tv2200 København N",01-11-2017,AdvokaterLoegstrup,"13.500,00 kr.1.350,00 kr.",3,92,/bolig.aspx?aid=27756&s=2
"Nørrebrogade 224, 3. th2200 København N",01-11-2017,AdvokaterLoegstrup,"15.000,00 kr.1.350,00 kr.",3,102,/bolig.aspx?aid=27755&s=2
"Nørrebrogade 224, 3. tv2200 København N",01-11-2017,AdvokaterLoegstrup,"13.000,00 kr.1.350,00 kr.",3,93,/bolig.aspx?aid=27754&s=2
"Nørrebrogade 224, 2. th2200 København N",01-11-2017,AdvokaterLoegstrup,"15.000,00 kr.1.350,00 kr.",3,102,/bolig.aspx?aid=27753&s=2
"Nørrebrogade 224, 2. tv2200 København N",01-11-2017,AdvokaterLoegstrup,"12.500,00 kr.1.350,00 kr.",3,93,/bolig.aspx?aid=27752&s=2
"Nørrebrogade 224, 1. th2200 København N",01-11-2017,AdvokaterLoegstrup,"14.000,00 kr.1.350,00 kr.",3,102,/bolig.aspx?aid=27751&s=2
"Nørrebrogade 224, 1. tv2200 København N",01-11-2017,AdvokaterLoegstrup,"11.250,00 kr.1.350,00 kr.",3,93,/bolig.aspx?aid=27750&s=2
"Carl Jacobsens Vej  19N, 3. TV2500 Valby",01-10-2017,Lærernes Pension,"15.125,10 kr.1.175,00 kr.",4,114,/bolig.aspx?aid=27748&s=2
"Artillerivej  156, 4. th2300 København S",01-12-2017,PKA_Logo_2014,"15.815,55 kr.1.285,00 kr.",4,123,/bolig.aspx?aid=27747&s=2
"Krimsvej  11F, 15. th.2300 København S",01-10-2017,Lærernes Pension,"16.861,83 kr.1.100,00 kr.",3,101,/bolig.aspx?aid=27745&s=2
"Bordeauxgade  1, 2. tv.2150 Nordhavn",15-11-2017,PKA_Logo_2014,"19.020,01 kr.1.310,83 kr.",3,121,/bolig.aspx?aid=27740&s=2
"Artillerivej  150, 3. tv2300 København S",15-11-2017,PKA_Logo_2014,"12.374,68 kr.970,00 kr.",3,92,/bolig.aspx?aid=27738&s=2
"Limfjordsvej  49, 3. 19400 Nørresundby",15-02-2018,DEAS,"8.404,00 kr.700,00 kr.",3,92,/bolig.aspx?aid=27730&s=2
"Limfjordsvej  49, 2. 49400 Nørresundby",15-02-2018,DEAS,"10.868,00 kr.700,00 kr.",4,113,/bolig.aspx?aid=27729&s=2
"Limfjordsvej  49, 2. 29400 Nørresundby",15-02-2018,DEAS,"7.809,00 kr.700,00 kr.",2,76,/bolig.aspx?aid=27727&s=2
"Limfjordsvej  49, 2. 19400 Nørresundby",15-02-2018,DEAS,"8.404,00 kr.700,00 kr.",3,92,/bolig.aspx?aid=27726&s=2
"Limfjordsvej  49, 1. 59400 Nørresundby",15-02-2018,DEAS,"8.864,00 kr.700,00 kr.",3,93,/bolig.aspx?aid=27725&s=2
"Limfjordsvej  49, 1. 49400 Nørresundby",15-02-2018,DEAS,"8.065,00 kr.700,00 kr.",3,89,/bolig.aspx?aid=27724&s=2
"Limfjordsvej  49, 1. 39400 Nørresundby",15-02-2018,DEAS,"8.140,00 kr.700,00 kr.",3,89,/bolig.aspx?aid=27723&s=2
"Limfjordsvej  49, 1. 29400 Nørresundby",15-02-2018,DEAS,"7.682,00 kr.700,00 kr.",2,76,/bolig.aspx?aid=27722&s=2
"Limfjordsvej  49, 1. 19400 Nørresundby",15-02-2018,DEAS,"8.404,00 kr.700,00 kr.",3,92,/bolig.aspx?aid=27721&s=2
"Limfjordsvej  47, st.9400 Nørresundby",15-02-2018,DEAS,"8.366,00 kr.700,00 kr.",3,92,/bolig.aspx?aid=27720&s=2
"Limfjordsvej  45, st.9400 Nørresundby",15-02-2018,DEAS,"9.902,00 kr.700,00 kr.",4,112,/bolig.aspx?aid=27719&s=2
"Limfjordsvej  41, st.9400 Nørresundby",15-02-2018,DEAS,"8.102,00 kr.700,00 kr.",3,89,/bolig.aspx?aid=27717&s=2
"Limfjordsvej  51, st.9400 Nørresundby",15-02-2018,DEAS,"7.714,00 kr.700,00 kr.",2,76,/bolig.aspx?aid=27714&s=2
"Limfjordsvej  53, st.9400 Nørresundby",15-02-2018,DEAS,"8.102,00 kr.700,00 kr.",3,89,/bolig.aspx?aid=27713&s=2
"Limfjordsvej  55, st.9400 Nørresundby",15-02-2018,DEAS,"8.102,00 kr.700,00 kr.",3,89,/bolig.aspx?aid=27712&s=2
"Limfjordsvej  57, st.9400 Nørresundby",15-02-2018,DEAS,"8.438,00 kr.700,00 kr.",3,93,/bolig.aspx?aid=27711&s=2
"Limfjordsvej  39, st.9400 Nørresundby",15-02-2018,DEAS,"8.102,00 kr.700,00 kr.",3,89,/bolig.aspx?aid=27710&s=2
"Limfjordsvej  35, 4. 29400 Nørresundby",15-02-2018,DEAS,"10.525,00 kr.700,00 kr.",4,116,/bolig.aspx?aid=27707&s=2
"Limfjordsvej  35, 4. 19400 Nørresundby",15-02-2018,DEAS,"10.038,00 kr.700,00 kr.",4,110,/bolig.aspx?aid=27706&s=2
"Limfjordsvej  35, 3. 29400 Nørresundby",15-02-2018,DEAS,"10.234,00 kr.700,00 kr.",4,116,/bolig.aspx?aid=27703&s=2
"Limfjordsvej  35, 3. 19400 Nørresundby",15-02-2018,DEAS,"9.763,00 kr.700,00 kr.",4,110,/bolig.aspx?aid=27702&s=2
"Limfjordsvej  35, 2. 59400 Nørresundby",15-02-2018,DEAS,"10.868,00 kr.700,00 kr.",4,113,/bolig.aspx?aid=27701&s=2
"Limfjordsvej  35, 2. 29400 Nørresundby",15-02-2018,DEAS,"10.234,00 kr.700,00 kr.",4,116,/bolig.aspx?aid=27698&s=2
"Limfjordsvej  35, 2. 19400 Nørresundby",15-02-2018,DEAS,"9.763,00 kr.700,00 kr.",4,110,/bolig.aspx?aid=27697&s=2
"Limfjordsvej  35, 1. 69400 Nørresundby",15-02-2018,DEAS,"8.787,00 kr.700,00 kr.",3,93,/bolig.aspx?aid=27696&s=2
"Limfjordsvej  35, 1. 49400 Nørresundby",15-02-2018,DEAS,"8.065,00 kr.700,00 kr.",3,89,/bolig.aspx?aid=27694&s=2
"Limfjordsvej  35, 1. 29400 Nørresundby",15-02-2018,DEAS,"8.391,00 kr.700,00 kr.",3,93,/bolig.aspx?aid=27692&s=2
"Limfjordsvej  35, 1. 19400 Nørresundby",15-02-2018,DEAS,"9.949,00 kr.700,00 kr.",4,112,/bolig.aspx?aid=27691&s=2
"Limfjordsvej  33, st.9400 Nørresundby",15-02-2018,DEAS,"7.976,00 kr.700,00 kr.",2,79,/bolig.aspx?aid=27690&s=2
"Søndervangs Allé  12B, 3. TH.8260 Viby J",01-11-2017,PKA_Logo_2014,"9.571,75 kr.650,00 kr.",4,91,/bolig.aspx?aid=27688&s=2
"Rygård Park  74, st.9400 Nørresundby",01-12-2017,DEAS,"9.187,00 kr.850,00 kr.",4,104,/bolig.aspx?aid=27683&s=2
"Rygård Park  76, st.9400 Nørresundby",01-12-2017,DEAS,"9.187,00 kr.850,00 kr.",4,104,/bolig.aspx?aid=27682&s=2
"Rygård Park  78, st.9400 Nørresundby",01-12-2017,DEAS,"9.187,00 kr.850,00 kr.",4,104,/bolig.aspx?aid=27680&s=2
"Rygård Park  80, st.9400 Nørresundby",01-12-2017,DEAS,"9.187,00 kr.850,00 kr.",4,104,/bolig.aspx?aid=27678&s=2
"Rygård Park  82, st.9400 Nørresundby",01-12-2017,DEAS,"9.187,00 kr.850,00 kr.",4,104,/bolig.aspx?aid=27677&s=2
"Rygård Park  98, st.9400 Nørresundby",01-12-2017,DEAS,"8.855,00 kr.850,00 kr.",3,97,/bolig.aspx?aid=27665&s=2
"Vejgård Bymidte  101, 1. 19000 Aalborg",01-11-2017,PKA_Logo_2014,"4.295,00 kr.400,00 kr.",1,43,/bolig.aspx?aid=27663&s=2
"Mortonsvej  8, 2. TH2800 Kongens Lyngby",01-11-2017,PKA_Logo_2014,"16.400,62 kr.1.233,33 kr.",4,118,/bolig.aspx?aid=27661&s=2
Lille Ellekongstræde  1   3700 Rønne,01-11-2017,PKA_Logo_2014,"6.726,75 kr.450,00 kr.",2,83,/bolig.aspx?aid=27660&s=2
"Filosofhaven  13 , 3. th.5000 Odense C",01-10-2017,Sampension,"13.721,09 kr.600,00 kr.",5,140,/bolig.aspx?aid=27651&s=2
"Østre Havnegade   24, 1. 19000 Aalborg",01-10-2017,PFA Logo,"7.956,67 kr.866,25 kr.",3,78,/bolig.aspx?aid=27649&s=2
"Østre Havnegade   24, 2. 19000 Aalborg",01-10-2017,PFA Logo,"7.956,67 kr.866,25 kr.",3,78,/bolig.aspx?aid=27639&s=2
"Østre Havnegade   24, 3. 19000 Aalborg",01-10-2017,PFA Logo,"8.117,08 kr.866,25 kr.",3,78,/bolig.aspx?aid=27629&s=2
"Østre Havnegade   24, 4. 69000 Aalborg",01-10-2017,PFA Logo,"9.487,50 kr.1.012,50 kr.",3,92,/bolig.aspx?aid=27615&s=2
"Østre Havnegade   24, 6. 19000 Aalborg",01-10-2017,PFA Logo,"8.277,50 kr.866,25 kr.",3,78,/bolig.aspx?aid=27601&s=2
"Østre Havnegade   24, 6. 79000 Aalborg",01-10-2017,PFA Logo,"8.707,50 kr.911,25 kr.",3,81,/bolig.aspx?aid=27595&s=2
"Skibsgade  4, st. TH.9500 Hobro",Ledig nu,Freja,"4.538,00 kr.750,00 kr.",2,66,/bolig.aspx?aid=27578&s=2
"Marie Curies Allé  8, 2. TV.9220 Aalborg Øst",01-11-2017,DaVinciLogo,"8.700,00 kr.805,00 kr.",3,86,/bolig.aspx?aid=27577&s=2
"Marie Curies Allé  75, st.9220 Aalborg Øst",15-10-2017,DaVinciLogo,"9.349,00 kr.805,00 kr.",4,112,/bolig.aspx?aid=27576&s=2
"Bygmestervej   1B, 3. th2400 København NV",01-10-2017,Pædagogernes Pensionskasse,"14.150,00 kr.1.100,00 kr.",3,106,/bolig.aspx?aid=27559&s=2
"Kirkeskov Allé  11, 2. 13050 Humlebæk",01-11-2017,PKA_Logo_2014,"9.963,27 kr.725,00 kr.",2,77,/bolig.aspx?aid=27476&s=2
"Carl Jacobsens Vej  19Y, 3. TV2500 Valby",01-10-2017,Lærernes Pension,"13.868,86 kr.1.100,00 kr.",4,109,/bolig.aspx?aid=27475&s=2
"Krimsvej  11F, 9. mf.2300 København S",01-10-2017,Lærernes Pension,"16.165,02 kr.1.200,00 kr.",3,105,/bolig.aspx?aid=27469&s=2
"Carl Jacobsens Vej  19T, 4. TH2500 Valby",01-10-2017,Lærernes Pension,"14.019,61 kr.1.150,00 kr.",4,117,/bolig.aspx?aid=27466&s=2
"Emiliedalsvej  99, 2. lejl. 48270 Højbjerg",01-10-2017,Lærernes Pension,"10.501,52 kr.400,00 kr.",3,100,/bolig.aspx?aid=27465&s=2
"Emiliedalsvej  3, 2. lejl. 18270 Højbjerg",01-10-2017,Lærernes Pension,"11.551,79 kr.783,00 kr.",4,110,/bolig.aspx?aid=27464&s=2
"Æblehaven 55, st.6000 Kolding",01-10-2017,TDCP,"12.214,00 kr.",4,112,/bolig.aspx?aid=27462&s=2
"Marmorvej  17A, 1. th.2100 København Ø",01-11-2017,Pensam,"15.510,00 kr.1.125,00 kr.",3,99,/bolig.aspx?aid=27458&s=2
"Marmorvej  15B, 1. tv.2100 København Ø",01-12-2017,Pensam,"19.720,00 kr.1.530,00 kr.",4,136,/bolig.aspx?aid=27457&s=2
"Peder Nilen Gade  1, st. lejl. 2263400 Hillerød",01-10-2017,DanicaLogo,"14.577,24 kr.900,00 kr.",3,123,/bolig.aspx?aid=27437&s=2
"Teglholmsgade  76, 5. th.2450 København SV",01-10-2017,Pensamlogo,"14.348,57 kr.865,00 kr.",3,94,/bolig.aspx?aid=27434&s=2
"Teglholmsgade  76, 4. th.2450 København SV",01-10-2017,Pensamlogo,"14.050,00 kr.1.020,00 kr.",3,94,/bolig.aspx?aid=27433&s=2
"Teglholmsgade  76, 4. mf.2450 København SV",01-10-2017,Pensamlogo,"13.820,79 kr.1.075,00 kr.",3,99,/bolig.aspx?aid=27432&s=2
"Amagerfælledvej  140, 4. TH2300 København S",01-10-2017,AP Pension,"15.552,92 kr.1.290,00 kr.",4,114,/bolig.aspx?aid=27426&s=2
"Amagerfælledvej  136, 5. TV2300 København S",01-10-2017,AP Pension,"15.294,42 kr.1.250,00 kr.",4,110,/bolig.aspx?aid=27425&s=2
"Bisiddervej   20, 5. th2400 København NV",01-10-2017,Pædagogernes Pensionskasse,"13.800,00 kr.1.100,00 kr.",3,92,/bolig.aspx?aid=27421&s=2
"Støberbakken  3, 2. tv.5700 Svendborg",01-10-2017,PenSam,"8.619,98 kr.710,00 kr.",5,101,/bolig.aspx?aid=27418&s=2
"Marie Curies Allé  195, st.9220 Aalborg Øst",01-11-2017,DaVinciLogo,"9.700,00 kr.805,00 kr.",3,102,/bolig.aspx?aid=27416&s=2
"Marie Curies Allé  108, 2. TH9220 Aalborg Øst",01-10-2017,DaVinciLogo,"9.350,00 kr.805,00 kr.",3,99,/bolig.aspx?aid=27415&s=2
"Helenavej  12, st.9210 Aalborg SØ",01-10-2017,DEAS,"11.350,00 kr.350,00 kr.",5,133,/bolig.aspx?aid=27412&s=2
"Marmorvej  15C, 1. th.2100 København Ø",Ledig nu,Pensam,"19.608,00 kr.1.475,00 kr.",4,130,/bolig.aspx?aid=27411&s=2
"Vestre Teglgade  2C, 5. TH2450 København SV",01-11-2017,PKA_Logo_2014,"15.103,43 kr.1.150,00 kr.",4,110,/bolig.aspx?aid=27406&s=2
"Margretheholmsvej  16, 4. tv1432 København K",01-11-2017,PKA_Logo_2014,"12.683,61 kr.960,00 kr.",4,92,/bolig.aspx?aid=27399&s=2
"Marie Curies Allé  4, 1. TV.9220 Aalborg Øst",01-11-2017,DaVinciLogo,"8.700,00 kr.805,00 kr.",3,98,/bolig.aspx?aid=27392&s=2
"Præstegaardsvej  34, st. TH9480 Løkken",01-11-2017,Jammerbugt,"3.340,00 kr.1.200,00 kr.",3,93,/bolig.aspx?aid=27390&s=2
Troldkærvej  89240 Nibe,01-10-2017,OS,"8.826,71 kr.",3,115,/bolig.aspx?aid=27389&s=2
"Marie Curies Allé  81, 1. lejl. 49220 Aalborg Øst",01-11-2017,DaVinciLogo,"8.400,00 kr.805,00 kr.",3,110,/bolig.aspx?aid=27388&s=2
"James Tobins Allé  20, 1. TV.9220 Aalborg Øst",01-10-2017,DaVinciLogo,"8.500,00 kr.805,00 kr.",3,95,/bolig.aspx?aid=27387&s=2
"Bisiddervej   22, 4. tv2400 København NV",01-10-2017,Pædagogernes Pensionskasse,"12.900,00 kr.1.100,00 kr.",3,91,/bolig.aspx?aid=27383&s=2
"Marie Curies Allé  129, 1. TV.9220 Aalborg Øst",Ledig nu,DaVinciLogo,"9.695,00 kr.805,00 kr.",4,105,/bolig.aspx?aid=27378&s=2
"Amalieparken 87, st. 32665 Vallensbæk Strand",01-11-2017,CEJ Ejendomsadministration,"12.450,00 kr.1.285,00 kr.",4,117,/bolig.aspx?aid=27375&s=2
